,Datum,Mesec,Godina,Sistem,Objekat,Početak zastoja,Ukupno vreme zastoja u minutima,Kraj zastoja,Vrsta_zastoja,Vreme zastoja
0,2016-01-01 00:00:00,JANUAR,2016.0,BTD SchRs-800,BAGER SchRs-800,2016-01-01 07:00:00,480.00000000349246,2016-03-13 07:00:00,Masinski,103680
1,2016-03-14 00:00:00,MART,2016.0,BTD SchRs-800,BAGER SchRs-800,2016-03-14 07:00:00,480.00000000349246,2016-05-08 09:40:00,Masinski,79360
2,2016-05-11 00:00:00,MAJ,2016.0,BTD SchRs-800,BAGER SchRs-800,2016-05-11 08:05:00,159.9999999976717,2016-05-11 10:45:00,Masinski,160
3,2016-05-11 00:00:00,MAJ,2016.0,BTD SchRs-800,BAGER SchRs-800,2016-05-11 15:00:00,210.00000000349246,2016-05-11 18:30:00,Elektro,210
4,2016-05-11 00:00:00,MAJ,2016.0,BTD SchRs-800,BAGER SchRs-800,2016-05-11 23:00:00,34.99999999883585,2016-05-11 23:35:00,Elektro,35
5,2016-05-11 00:00:00,MAJ,2016.0,BTD SchRs-800,BAGER SchRs-800,2016-05-12 00:40:00,14.99999999650754,2016-05-12 00:55:00,Masinski,15
6,2016-05-11 00:00:00,MAJ,2016.0,BTD SchRs-800,DROBILANA,2016-05-12 03:00:00,104.99999999650754,2016-05-12 04:45:00,Ostalo,105
7,2016-05-12 00:00:00,MAJ,2016.0,BTD SchRs-800,BAGER SchRs-800,2016-05-12 10:30:00,14.99999999650754,2016-05-12 10:45:00,Masinski,15
8,2016-05-12 00:00:00,MAJ,2016.0,BTD SchRs-800,TR.TR.B-1600 - U-I-2,2016-05-12 11:00:00,39.999999994179234,2016-05-12 11:40:00,Masinski,40
9,2016-05-12 00:00:00,MAJ,2016.0,BTD SchRs-800,DROBILANA,2016-05-12 12:00:00,135.0,2016-05-12 14:15:00,Ostalo,135
10,2016-05-12 00:00:00,MAJ,2016.0,BTD SchRs-800,TR.TR.B-1600 - U-I-3,2016-05-12 17:00:00,29.99999999301508,2016-05-12 17:30:00,Ostalo,30
11,2016-05-12 00:00:00,MAJ,2016.0,BTD SchRs-800,DROBILANA,2016-05-12 18:00:00,204.9999999976717,2016-05-12 21:25:00,Ostalo,205
12,2016-05-12 00:00:00,MAJ,2016.0,BTD SchRs-800,BAGER SchRs-800,2016-05-13 02:00:00,59.99999999650754,2016-05-13 06:00:00,Elektro,240
13,2016-05-13 00:00:00,MAJ,2016.0,BTD SchRs-800,BAGER SchRs-800,2016-05-13 09:00:00,229.9999999953434,2016-05-13 12:50:00,Ostalo,230
14,2016-05-13 00:00:00,MAJ,2016.0,BTD SchRs-800,DROBILANA,2016-05-13 14:00:00,45.0,2016-05-13 14:45:00,Ostalo,45
15,2016-05-13 00:00:00,MAJ,2016.0,BTD SchRs-800,BAGER SchRs-800,2016-05-13 17:00:00,129.99999999417923,2016-05-13 19:10:00,Ostalo,130
16,2016-05-13 00:00:00,MAJ,2016.0,BTD SchRs-800,DROBILANA,2016-05-13 21:00:00,45.0,2016-05-13 21:45:00,Ostalo,45
17,2016-05-13 00:00:00,MAJ,2016.0,BTD SchRs-800,DROBILANA,2016-05-14 02:00:00,149.99999999650754,2016-05-14 04:30:00,Ostalo,150
18,2016-05-14 00:00:00,MAJ,2016.0,BTD SchRs-800,BAGER SchRs-800,2016-05-14 07:00:00,50.000000005820766,2016-05-14 07:50:00,Elektro,50
19,2016-05-14 00:00:00,MAJ,2016.0,BTD SchRs-800,BAGER SchRs-800,2016-05-14 09:30:00,45.0,2016-05-14 10:15:00,Ostalo,45
20,2016-05-14 00:00:00,MAJ,2016.0,BTD SchRs-800,DROBILANA,2016-05-14 11:00:00,190.00000000116415,2016-05-14 14:10:00,Ostalo,190
21,2016-05-14 00:00:00,MAJ,2016.0,BTD SchRs-800,BAGER SchRs-800,2016-05-14 17:00:00,49.99999999534339,2016-05-14 17:50:00,Elektro,50
22,2016-05-14 00:00:00,MAJ,2016.0,BTD SchRs-800,BAGER SchRs-800,2016-05-14 18:00:00,135.0,2016-05-14 20:15:00,Ostalo,135
23,2016-05-14 00:00:00,MAJ,2016.0,BTD SchRs-800,DROBILANA,2016-05-14 22:00:00,45.0,2016-05-14 22:45:00,Ostalo,45
24,2016-05-14 00:00:00,MAJ,2016.0,BTD SchRs-800,TR.TR.B-1800 - U-Z-4,2016-05-15 01:10:00,24.999999997671694,2016-05-15 01:35:00,Masinski,25
25,2016-05-14 00:00:00,MAJ,2016.0,BTD SchRs-800,DROBILANA,2016-05-15 03:00:00,124.99999999883585,2016-05-15 05:05:00,Ostalo,125
